y,x1,x2,x3
0,5,6,6
0,5,5,6
1,7,8,10
1,15,14,15
1,6,10,10
1,15,15,15
1,12,12,11
0,6,5,6
1,16,18,19
1,14,15,15
0,10,8,9
1,10,12,12
1,14,14,14
1,10,10,11
1,14,16,16
1,14,14,14
1,13,14,14
1,8,10,10
0,6,5,5
1,8,10,10
1,13,14,15
1,12,15,15
1,15,15,16
1,13,13,12
0,10,9,8
0,6,9,8
1,12,12,11
1,15,16,15
1,11,11,11
1,10,12,11
1,9,11,12
1,17,16,17
1,17,16,16
1,8,10,12
1,12,14,15
0,8,7,6
1,15,16,18
1,15,16,15
1,12,12,11
1,14,13,13
1,7,10,11
1,12,12,12
1,19,18,18
1,8,8,11
0,10,10,9
0,8,8,6
1,11,12,11
1,19,19,20
1,15,15,14
0,7,7,7
1,12,13,13
1,11,13,13
1,11,11,10
1,8,10,11
1,10,13,13
1,8,9,10
1,14,15,15
1,14,15,15
0,9,10,9
1,15,16,16
1,10,11,11
1,10,8,11
0,8,10,9
0,10,9,9
1,10,10,10
1,16,15,15
1,13,13,12
0,7,7,6
0,8,9,8
1,16,16,16
1,13,15,15
1,10,10,10
0,8,6,5
1,12,12,14
1,11,12,11
1,9,9,10
1,11,11,10
1,11,11,11
1,8,8,10
0,5,5,5
1,10,12,12
1,11,10,11
0,7,6,6
1,15,15,15
1,9,10,10
0,7,9,8
0,8,7,6
1,13,14,14
1,11,10,10
0,8,6,7
0,7,7,8
1,16,17,18
0,7,6,6
1,11,10,10
1,11,13,14
1,7,10,10
1,11,15,15
1,8,9,10
1,11,14,14
0,7,9,8
0,7,7,5
1,16,17,17
1,10,13,14
0,7,6,6
1,16,18,18
1,10,11,11
0,7,8,8
1,16,18,18
1,10,13,13
1,14,15,16
1,18,19,19
1,7,10,10
1,10,13,13
1,18,19,19
0,9,9,9
1,15,15,16
1,11,13,14
1,13,14,13
0,9,7,8
1,14,13,13
1,16,15,15
1,16,14,15
1,13,13,13
1,14,11,13
0,8,7,8
1,13,13,12
1,7,10,11
0,7,8,9
0,7,4,0
1,18,18,18
0,12,0,0
0,8,0,0
1,10,13,12
1,12,11,11
0,9,0,0
0,11,0,0
0,10,0,0
0,4,0,0
1,14,12,12
1,16,16,15
0,7,9,0
0,9,9,9
1,9,11,11
1,14,14,13
0,5,0,0
1,8,11,11
0,6,7,0
1,10,11,11
0,7,6,0
1,8,9,10
0,6,5,0
1,12,13,14
1,10,10,10
0,5,0,0
1,11,11,12
0,11,8,8
1,16,12,13
1,9,8,10
1,17,15,15
1,10,12,12
0,7,6,0
0,5,9,7
0,7,0,0
1,10,10,10
0,5,8,7
1,12,11,12
1,10,10,10
1,14,15,16
0,6,7,0
1,14,14,14
0,6,5,0
1,13,15,16
1,13,11,10
0,8,7,0
0,10,11,9
0,10,9,9
1,13,13,11
0,6,5,6
0,10,8,9
1,10,10,11
0,9,8,8
1,12,13,12
1,16,17,17
0,9,9,8
1,12,13,12
1,12,12,11
1,11,12,11
1,15,15,15
0,8,7,9
1,8,9,10
1,11,12,13
0,8,8,9
0,7,8,8
1,8,9,10
1,13,14,14
1,14,15,15
1,17,15,16
1,9,9,10
1,18,18,18
1,9,9,10
1,16,16,16
1,8,10,10
1,9,9,10
0,7,6,6
1,10,10,11
0,10,9,9
0,7,7,7
1,11,12,13
1,9,9,10
0,7,7,7
0,8,8,8
1,12,12,13
1,12,13,14
0,6,7,8
1,8,10,10
1,14,15,15
0,6,6,4
0,6,6,8
0,7,7,8
1,9,10,10
0,6,6,6
0,6,5,0
1,16,16,17
1,12,13,13
1,13,13,14
0,9,8,7
1,16,15,15
1,12,11,12
0,10,8,9
1,12,10,12
1,13,13,14
1,11,11,11
0,11,9,9
1,14,13,13
0,9,7,6
1,11,9,10
1,14,13,13
1,13,12,12
1,13,11,11
0,7,7,0
1,12,12,12
1,10,11,12
0,6,0,0
1,13,12,12
0,7,0,0
1,18,18,18
1,12,12,13
0,6,8,8
0,3,5,5
1,13,15,15
0,6,8,8
1,7,10,10
0,6,9,8
0,8,9,8
1,8,12,12
0,7,9,8
1,14,12,13
1,11,11,11
1,15,14,14
0,10,9,0
1,17,18,18
0,8,8,8
1,13,12,12
0,10,9,9
0,9,10,0
1,17,17,17
1,9,9,10
1,12,10,11
1,10,9,10
0,6,0,0
0,9,9,9
1,15,14,14
1,11,11,11
1,15,14,14
1,10,10,10
1,12,12,12
0,10,9,9
0,9,9,9
0,9,8,8
1,10,11,10
0,8,8,8
1,11,9,10
1,12,12,12
1,8,9,10
1,10,9,11
1,12,10,11
1,18,18,19
1,13,12,12
1,15,14,14
1,15,13,15
1,12,11,11
1,15,15,15
1,12,12,13
1,18,18,18
1,14,13,14
1,14,12,11
0,10,9,0
0,10,8,8
1,14,13,14
1,16,15,16
1,12,10,11
1,11,11,10
1,15,12,14
1,17,17,18
1,15,14,13
1,14,12,12
1,17,18,18
0,8,9,8
1,15,12,12
1,12,10,10
0,9,9,0
1,14,12,13
1,13,11,11
1,13,10,11
1,15,13,13
1,13,11,11
0,8,8,0
0,9,10,9
1,11,11,10
1,11,11,11
1,13,13,13
0,11,9,9
1,11,11,11
1,12,14,15
1,16,15,15
1,9,12,11
1,14,15,16
1,11,10,10
0,10,9,9
1,14,14,14
0,9,8,8
1,12,14,14
0,7,0,0
0,8,8,0
0,10,9,0
1,16,15,15
1,14,13,13
0,7,8,0
1,16,15,17
1,9,10,10
1,11,12,11
0,10,10,0
1,16,15,15
0,9,8,0
1,11,10,10
1,13,13,14
1,16,15,16
0,10,10,9
1,13,15,15
1,11,13,13
0,8,7,8
1,13,13,13
0,8,7,8
0,8,8,8
1,13,11,11
0,10,9,9
1,12,13,13
1,12,12,11
1,10,10,10
1,18,16,16
1,13,13,13
1,13,12,12
1,11,11,10
1,16,15,15
1,12,11,12
1,10,10,10
1,13,13,13
0,7,6,0
1,11,10,10
1,14,12,11
0,7,7,9
1,14,12,12
1,13,11,11
0,6,5,5
1,19,18,19
1,8,8,10
1,15,14,15
1,8,9,10
1,15,15,15
1,10,10,10
1,15,14,14
0,7,6,7
1,11,11,10
0,6,5,0
0,6,5,5
1,10,9,10
0,6,5,6
0,7,5,0
0,7,9,8
0,6,5,0
0,9,9,9
1,14,16,16
0,10,8,7
1,11,12,10
0,8,9,9
